partner_emb_5,partner_emb_41,partner_emb_211,partner_emb_60,partner_emb_170,partner_emb_199,partner_emb_173,partner_emb_122,partner_emb_82,partner_emb_28,cancer,score
-0.08024854,-0.03515474,0.5934454,0.07169783,0.025579618,-0.026602728,0.045507424,-0.04584402,0.0391403,-0.0053364416,COAD,NaN
-0.03391801,-0.03206373,0.6425108,0.07568042,0.0185391,0.0302857,0.04591435,-0.053881086,0.0632333,0.0039303387,LAML,NaN
-0.08298765,-0.049793005,0.5911009,0.094480716,0.0114447605,-0.00975176,0.051129185,-0.037670452,0.051532447,-0.05069039,OV,NaN
0.027762521,-0.04842138,0.66405934,0.18409866,0.09055797,-0.09686923,0.059594817,-0.035567082,0.062261593,-0.036625754,BRCA,NaN
-0.1085626,-0.036295496,0.5761168,0.06983499,0.0028950903,0.045492,0.05877254,-0.02126972,0.0284837,-0.044142388,CESC,NaN
0.15164816,-0.15048325,0.53672546,0.16329403,0.10604976,-0.21456222,0.038089335,0.01317245,0.050417796,0.002926145,SKCM,NaN
-0.0599918,-0.032327373,0.6133613,0.06940187,-0.0033083211,0.0571897,0.055606384,-0.02027617,0.045519993,-0.0166987,LUAD,NaN
-0.10141481,-0.032163832,0.5974756,0.08069438,0.0056659454,0.010524998,0.052967682,-0.011960378,0.033640698,-0.023148326,Glioma,NaN
