primary_emb_5,primary_emb_211,primary_emb_82,primary_emb_170,primary_emb_173,primary_emb_122,primary_emb_214,primary_emb_41,primary_emb_38,primary_emb_94,cancer,score
0.0132063255,0.5799906,-0.23848884,0.0054805893,0.029740838,0.038805757,-0.0462045,-0.05850086,-0.029305497,0.08627554,COAD,NaN
-0.0015777535,0.64469784,-0.2562085,-0.015355778,0.02758536,0.009994225,-0.014818166,-0.07653815,-0.023599884,0.056221463,LAML,NaN
-0.0008945756,0.59016836,-0.27381203,0.0024583633,0.019466879,0.041103587,-0.033020537,-0.070385344,0.011910437,0.086534195,OV,NaN
0.04124215,0.5688976,-0.19692492,0.076880835,0.050703064,-0.0037594736,-0.08272808,-0.07192582,-0.12161427,0.08771317,BRCA,NaN
0.0032246162,0.5731236,-0.27794963,0.0042589693,0.029611731,0.04721708,-0.04175526,-0.07064891,0.019959826,0.088957585,CESC,NaN
0.049334154,0.5156668,-0.16582176,0.10644415,0.06955145,0.0060539516,-0.13281336,-0.109451085,-0.18510717,0.082823314,SKCM,NaN
0.014968358,0.61267346,-0.25746796,0.005551705,0.025238913,0.023494124,-0.031454384,-0.05047879,-0.034702282,0.07367945,LUAD,NaN
-0.0087413415,0.58556944,-0.27946967,0.023523614,0.033210237,0.026683353,-0.031784378,-0.052627765,-0.0038220182,0.062158007,Glioma,NaN
