primary_emb_18,primary_emb_244,primary_emb_120,primary_emb_411,primary_emb_247,primary_emb_346,primary_emb_496,primary_emb_342,primary_emb_485,primary_emb_162,primary_emb_24,primary_emb_335,primary_emb_384,primary_emb_298,primary_emb_226,primary_emb_499,primary_emb_314,primary_emb_386,primary_emb_410,primary_emb_230,cancer,score
0.0,0.12537773,0.0,0.16946514,0.0,0.0,0.0,0.0,0.12748066,0.23281775,0.0,0.0,0.0,0.114013195,0.41945767,0.44048297,0.13195959,0.0,0.0,0.3791965,COAD,0.0025809214
0.1990806,0.06083148,0.019640967,0.14666738,0.16875988,0.24547431,0.44245344,0.594569,0.27002758,0.010247581,0.16749257,0.24775004,0.032600857,0.097486004,0.22934182,0.13594207,0.0,0.59491336,0.10590987,0.0134562375,BRCA,0.9852681
0.2842748,0.796233,0.0024447667,0.13839874,0.006392798,0.18992516,0.0,0.8518654,0.022018371,0.0,0.0038659791,0.012216423,0.12180587,0.004106766,0.19553587,0.01349544,0.0,0.10820178,0.015342956,0.025601527,SKCM,0.9222857
0.0073819123,0.08039523,0.24091586,0.39481932,0.17010792,0.048441287,0.0,0.041041616,0.10613996,0.23766248,0.048655517,0.0014215717,0.02518132,0.8271289,0.05288353,0.0,0.031804133,0.7535168,0.19791111,0.0,KIRC,0.29541925
0.49046096,0.0208061,0.0,0.26726738,0.60759836,0.5728303,0.095486864,0.13280025,0.0046471255,0.07601924,0.011779988,0.0,0.0,0.11328851,0.32229376,0.0,0.0037927225,0.59716547,0.42308658,0.21265869,LUAD,0.008002302
